Name,Temperature,Volume (ml),Calories (kcal),Caffeine (mg),Sugar (g),Fat (g),Sodium (mg),Price (KRW),Cafe,Category
ICE 자두피치크러쉬,ICE,600.0,317.0,0.0,64.0,0.0,85.0,4200,더 벤티,스무디/프라페
ICE 유자배크러쉬,ICE,600.0,442.0,0.0,94.0,0.0,14.0,4200,더 벤티,스무디/프라페
ICE 쿠키앤크림프라페,ICE,600.0,654.0,0.0,74.0,19.7,200.0,3900,더 벤티,스무디/프라페
ICE 자바칩프라페,ICE,600.0,575.0,30.0,74.0,20.0,440.0,3900,더 벤티,스무디/프라페
ICE 코코넛커피프라페,ICE,600.0,273.0,26.0,17.0,11.5,140.0,4500,더 벤티,스무디/프라페
ICE 코코초코프라페,ICE,600.0,543.0,19.0,58.0,4.7,254.0,3900,더 벤티,스무디/프라페
ICE 말차프라페,ICE,600.0,482.0,72.0,33.0,12.5,72.0,3900,더 벤티,스무디/프라페
ICE 민트초코칩프라페,ICE,600.0,601.0,0.0,78.0,22.0,301.0,3900,더 벤티,스무디/프라페
ICE 밀크쉐이크,ICE,600.0,483.0,0.0,60.0,13.3,200.0,3900,더 벤티,스무디/프라페
ICE 초코쉐이크,ICE,600.0,445.0,10.0,33.0,8.8,198.0,3900,더 벤티,스무디/프라페
ICE 딸기쉐이크,ICE,600.0,560.0,0.0,76.0,13.2,188.0,3900,더 벤티,스무디/프라페
ICE 에스프레소쉐이크,ICE,600.0,484.0,296.0,59.0,12.9,191.0,3900,더 벤티,스무디/프라페
ICE 저당 바닐라딥라떼,ICE,600.0,289.0,296.0,13.0,7.8,212.0,3500,더 벤티,주스/에이드/음료
HOT 저당 바닐라딥라떼,HOT,600.0,351.0,296.0,18.0,10.0,260.0,3500,더 벤티,주스/에이드/음료
HOT 저당 믹스커피,HOT,600.0,310.0,134.0,3.0,6.6,31.0,2500,더 벤티,주스/에이드/음료
ICE 저당 믹스커피,ICE,600.0,310.0,134.0,3.0,6.6,31.0,2500,더 벤티,주스/에이드/음료
